service_id,date,exception_type
2024_2025_1285959,20250901,1
2024_2025_1285959,20250902,1
2024_2025_1285959,20250903,1
2024_2025_1285959,20250904,1
2024_2025_1285959,20250905,1
2024_2025_1285959,20250908,1
2024_2025_1285959,20250909,1
2024_2025_1285959,20250910,1
2024_2025_1285959,20250911,1
2024_2025_1285959,20250912,1
2024_2025_1285959,20250915,1
2024_2025_1285959,20250916,1
2024_2025_1285959,20250917,1
2024_2025_1285959,20250918,1
2024_2025_1285959,20250919,1
2024_2025_1285959,20250922,1
2024_2025_1285959,20250923,1
2024_2025_1285959,20250924,1
2024_2025_1285959,20250925,1
2024_2025_1285959,20250926,1
2024_2025_1285959,20250929,1
2024_2025_1285959,20250930,1
2024_2025_1285959,20251001,1
2024_2025_1285959,20251002,1
2024_2025_1285959,20251003,1
2024_2025_1285959,20251006,1
2024_2025_1285959,20251007,1
2024_2025_1285959,20251008,1
2024_2025_1285959,20251009,1
2024_2025_1285959,20251010,1
2024_2025_1285959,20251013,1
2024_2025_1285959,20251014,1
2024_2025_1285959,20251015,1
2024_2025_1285959,20251016,1
2024_2025_1285959,20251017,1
2024_2025_1285959,20251020,1
2024_2025_1285959,20251021,1
2024_2025_1285959,20251022,1
2024_2025_1285959,20251023,1
2024_2025_1285959,20251024,1
2024_2025_1285288,20250907,1
2024_2025_813331,20250830,1
2024_2025_813654,20250829,1
2024_2025_1345467,20250831,1
2024_2025_1345467,20250906,1
2024_2025_1345467,20250907,1
2024_2025_1345467,20250913,1
2024_2025_1345467,20250914,1
2024_2025_1289585,20251001,1
2024_2025_1289585,20251002,1
2024_2025_1289585,20251003,1
2024_2025_1285151,20250901,1
2024_2025_1285151,20250907,1
2024_2025_1285151,20250908,1
2024_2025_1285151,20250914,1
2024_2025_1285151,20250915,1
2024_2025_1285151,20250921,1
2024_2025_1285151,20250922,1
2024_2025_1285151,20250928,1
2024_2025_1285151,20250929,1
2024_2025_1285151,20251005,1
2024_2025_1285151,20251006,1
2024_2025_1285151,20251012,1
2024_2025_1285151,20251013,1
2024_2025_1285151,20251019,1
2024_2025_1285151,20251020,1
2024_2025_878278,20250830,1
2024_2025_1289444,20251006,1
2024_2025_1289444,20251007,1
2024_2025_1289444,20251008,1
2024_2025_1289444,20251009,1
2024_2025_1289444,20251010,1
2024_2025_1289444,20251013,1
2024_2025_1289444,20251014,1
2024_2025_1289444,20251015,1
2024_2025_1289444,20251016,1
2024_2025_1289444,20251017,1
2024_2025_1289444,20251020,1
2024_2025_1289444,20251021,1
2024_2025_1289444,20251022,1
2024_2025_1289444,20251023,1
2024_2025_1289444,20251024,1
2024_2025_1285421,20251004,1
2024_2025_1285421,20251005,1
2024_2025_1285421,20251011,1
2024_2025_1285421,20251012,1
2024_2025_1285421,20251018,1
2024_2025_1285421,20251019,1
2024_2025_1285421,20251025,1
2024_2025_1285257,20250831,1
2024_2025_1285257,20250906,1
2024_2025_1285257,20250907,1
2024_2025_1285257,20250913,1
2024_2025_1285257,20250914,1
2024_2025_1285257,20250920,1
2024_2025_1285257,20250921,1
2024_2025_1285257,20250927,1
2024_2025_1285257,20250928,1
2024_2025_1285257,20251004,1
2024_2025_1285257,20251005,1
2024_2025_1285257,20251011,1
2024_2025_1285257,20251012,1
2024_2025_1285257,20251018,1
2024_2025_1285257,20251019,1
2024_2025_1285257,20251025,1
2024_2025_813257,20250830,1
2024_2025_969747,20250829,1
2024_2025_813157,20250830,1
2024_2025_813464,20250829,1
2024_2025_1285317,20251004,1
2024_2025_1285317,20251005,1
2024_2025_1285317,20251011,1
2024_2025_1285317,20251012,1
2024_2025_1285317,20251018,1
2024_2025_1285317,20251019,1
2024_2025_1285317,20251025,1
2024_2025_1285576,20250831,1
2024_2025_1285576,20250906,1
2024_2025_1285576,20250907,1
2024_2025_1285576,20250913,1
2024_2025_1285576,20250914,1
2024_2025_877553,20250829,1
2024_2025_1285816,20251004,1
2024_2025_1285816,20251005,1
2024_2025_1285816,20251011,1
2024_2025_1285816,20251012,1
2024_2025_1285469,20250831,1
2024_2025_1285469,20250906,1
2024_2025_1285469,20250907,1
2024_2025_1285469,20250913,1
2024_2025_1285469,20250914,1
2024_2025_1285469,20250920,1
2024_2025_1285469,20250921,1
2024_2025_1285469,20250927,1
2024_2025_1285469,20250928,1
2024_2025_869887,20250830,1
2024_2025_877358,20250829,1
2024_2025_1289527,20250901,1
2024_2025_1289527,20250902,1
2024_2025_1289527,20250903,1
2024_2025_1289527,20250904,1
2024_2025_1289527,20250905,1
2024_2025_1289527,20250908,1
2024_2025_1289527,20250909,1
2024_2025_1289527,20250910,1
2024_2025_1289527,20250911,1
2024_2025_1289527,20250912,1
2024_2025_1289527,20250915,1
2024_2025_1327576,20250916,1
2024_2025_1327576,20250917,1
2024_2025_1327576,20250918,1
2024_2025_1327576,20250919,1
2024_2025_1327576,20250922,1
2024_2025_1327576,20250923,1
2024_2025_1327576,20250924,1
2024_2025_1327576,20250925,1
2024_2025_1327576,20250926,1
2024_2025_1327576,20250929,1
2024_2025_1327576,20250930,1
2024_2025_1327742,20250901,1
