route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
SKA1,2024_2025_1285959,2024_2025_1285959,,33332/3 SKA1,,,,
SKA2,2024_2025_1285288,2024_2025_1285288,,33869 SKA2,,,,
SKA1,2024_2025_813331,2024_2025_813331,,33222/3 SKA1,,,,
SKA1,2024_2025_813654,2024_2025_813654,,33226/7 SKA1,,,,
SKA2,2024_2025_1345467,2024_2025_1345467,,32566 SKA2,,,,
SKA2,2024_2025_1289585,2024_2025_1289585,,33816 SKA2,,,,
SKA1,2024_2025_1285151,2024_2025_1285151,,33274 SKA1,,,,
SKA3,2024_2025_878278,2024_2025_878278,,33407 SKA3,,,,
SKA2,2024_2025_1289444,2024_2025_1289444,,23863 SKA2,,,,
SKA2,2024_2025_1285421,2024_2025_1285421,,39570 SKA2,,,,
SKA1,2024_2025_1285257,2024_2025_1285257,,33366/7 SKA1,,,,
SKA1,2024_2025_813257,2024_2025_813257,,33256/7 SKA1,,,,
K7P DUNAJEC,2024_2025_969747,2024_2025_969747,,33136 K7P DUNAJEC,,,,
SKA1,2024_2025_813157,2024_2025_813157,,33304/5 SKA1,,,,
SKA1,2024_2025_813464,2024_2025_813464,,33308/9 SKA1,,,,
SKA2,2024_2025_1285317,2024_2025_1285317,,33857 SKA2,,,,
SKA2,2024_2025_1285576,2024_2025_1285576,,39531 SKA2,,,,
SKA2,2024_2025_877553,2024_2025_877553,,33865 SKA2,,,,
SKA3,2024_2025_1285816,2024_2025_1285816,,30778/9 SKA3,,,,
SKA3,2024_2025_1285469,2024_2025_1285469,,30732/3 SKA3,,,,
SKA3,2024_2025_869887,2024_2025_869887,,33454 SKA3,,,,
SKA2,2024_2025_877358,2024_2025_877358,,23841 SKA2,,,,
SKA2,2024_2025_1289527,2024_2025_1289527,,39515 SKA2,,,,
SKA2,2024_2025_1327576,2024_2025_1327576,,39533 SKA2,,,,
SKA3,2024_2025_1327742,2024_2025_1327742,,30704/5 SKA3,,,,
SKA1,2024_2025_1286124,2024_2025_1286124,,33342/3 SKA1,,,,
SKA3,2024_2025_1327603,2024_2025_1327603,,30760/1 SKA3,,,,
SKA2,2024_2025_1289536,2024_2025_1289536,,39570 SKA2,,,,
K63,2024_2025_869894,2024_2025_869894,,33404/5 K63,,,,
SKA2,2024_2025_1289623,2024_2025_1289623,,32800 SKA2,,,,
