service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
398946_7952,1,1,1,1,1,0,0,20251006,20251231
398946_7953,0,0,0,0,0,1,0,20251006,20251231
398946_7954,0,0,0,0,0,0,1,20251006,20251231
399200_7952,1,1,1,1,1,0,0,20251006,20251231
399200_7953,0,0,0,0,0,1,0,20251006,20251231
399200_7954,0,0,0,0,0,0,1,20251006,20251231
369954_7952,1,1,1,1,1,0,0,20251006,20251231
369954_7953,0,0,0,0,0,1,0,20251006,20251231
369954_7954,0,0,0,0,0,0,1,20251006,20251231
398936_7952,1,1,1,1,1,0,0,20251006,20251231
398936_7953,0,0,0,0,0,1,0,20251006,20251231
398936_7954,0,0,0,0,0,0,1,20251006,20251231
369966_7952,1,1,1,1,1,0,0,20251006,20251231
369966_7953,0,0,0,0,0,1,0,20251006,20251231
369966_7954,0,0,0,0,0,0,1,20251006,20251231
391893_7952,1,1,1,1,1,0,0,20251006,20251231
391893_7953,0,0,0,0,0,1,0,20251006,20251231
391893_7954,0,0,0,0,0,0,1,20251006,20251231
356385_7952,1,1,1,1,1,0,0,20251006,20251231
356385_7953,0,0,0,0,0,1,0,20251006,20251231
356385_7954,0,0,0,0,0,0,1,20251006,20251231
383577_7952,1,1,1,1,1,0,0,20251006,20251231
383577_7953,0,0,0,0,0,1,0,20251006,20251231
383577_7954,0,0,0,0,0,0,1,20251006,20251231
369956_7952,1,1,1,1,1,0,0,20251006,20251231
369956_7953,0,0,0,0,0,1,0,20251006,20251231
369956_7954,0,0,0,0,0,0,1,20251006,20251231
383575_7952,1,1,1,1,1,0,0,20251006,20251231
383575_7953,0,0,0,0,0,1,0,20251006,20251231
383575_7954,0,0,0,0,0,0,1,20251006,20251231
363802_7952,1,1,1,1,1,0,0,20251006,20251231
363802_7953,0,0,0,0,0,1,0,20251006,20251231
363802_7954,0,0,0,0,0,0,1,20251006,20251231
321820_7952,1,1,1,1,1,0,0,20251006,20251231
321820_7953,0,0,0,0,0,1,0,20251006,20251231
321820_7954,0,0,0,0,0,0,1,20251006,20251231
398937_7952,1,1,1,1,1,0,0,20251006,20251231
398937_7953,0,0,0,0,0,1,0,20251006,20251231
398937_7954,0,0,0,0,0,0,1,20251006,20251231
381920_7952,1,1,1,1,1,0,0,20251006,20251231
381920_7953,0,0,0,0,0,1,0,20251006,20251231
381920_7954,0,0,0,0,0,0,1,20251006,20251231
388717_7952,1,1,1,1,1,0,0,20251006,20251231
388717_7953,0,0,0,0,0,1,0,20251006,20251231
388717_7954,0,0,0,0,0,0,1,20251006,20251231
321837_7952,1,1,1,1,1,0,0,20251006,20251231
321837_7953,0,0,0,0,0,1,0,20251006,20251231
321837_7954,0,0,0,0,0,0,1,20251006,20251231
381924_7952,1,1,1,1,1,0,0,20251006,20251231
381924_7953,0,0,0,0,0,1,0,20251006,20251231
381924_7954,0,0,0,0,0,0,1,20251006,20251231
398938_7952,1,1,1,1,1,0,0,20251006,20251231
398938_7953,0,0,0,0,0,1,0,20251006,20251231
398938_7954,0,0,0,0,0,0,1,20251006,20251231
398940_7952,1,1,1,1,1,0,0,20251006,20251231
398940_7953,0,0,0,0,0,1,0,20251006,20251231
398940_7954,0,0,0,0,0,0,1,20251006,20251231
398728_7952,1,1,1,1,1,0,0,20251006,20251006
398736_7952,1,1,1,1,1,0,0,20251007,20251009
398943_7952,1,1,1,1,1,0,0,20251010,20251010
398729_7952,1,1,1,1,1,0,0,20251013,20251013
398737_7952,1,1,1,1,1,0,0,20251014,20251016
398944_7952,1,1,1,1,1,0,0,20251017,20251017
398730_7952,1,1,1,1,1,0,0,20251020,20251020
398738_7952,1,1,1,1,1,0,0,20251021,20251023
398945_7952,1,1,1,1,1,0,0,20251024,20251024
398732_7953,0,0,0,0,0,1,0,20251011,20251012
398733_7953,0,0,0,0,0,1,0,20251018,20251019
398734_7953,0,0,0,0,0,1,0,20251025,20251025
398732_7954,0,0,0,0,0,0,1,20251011,20251012
398733_7954,0,0,0,0,0,0,1,20251018,20251019
398734_7954,0,0,0,0,0,0,1,20251025,20251025
398947_7952,1,1,1,1,1,0,0,20251006,20251231
398947_7953,0,0,0,0,0,1,0,20251006,20251231
398947_7954,0,0,0,0,0,0,1,20251006,20251231
381928_7952,1,1,1,1,1,0,0,20251006,20251231
381928_7953,0,0,0,0,0,1,0,20251006,20251231
381928_7954,0,0,0,0,0,0,1,20251006,20251231
387206_7952,1,1,1,1,1,0,0,20251006,20251231
387206_7953,0,0,0,0,0,1,0,20251006,20251231
387206_7954,0,0,0,0,0,0,1,20251006,20251231
398935_7952,1,1,1,1,1,0,0,20251006,20251231
398935_7953,0,0,0,0,0,1,0,20251006,20251231
398935_7954,0,0,0,0,0,0,1,20251006,20251231
352024_7952,1,1,1,1,1,0,0,20251006,20251231
352024_7953,0,0,0,0,0,1,0,20251006,20251231
352024_7954,0,0,0,0,0,0,1,20251006,20251231
381926_7952,1,1,1,1,1,0,0,20251006,20251231
381926_7953,0,0,0,0,0,1,0,20251006,20251231
381926_7954,0,0,0,0,0,0,1,20251006,20251231
358854_7952,1,1,1,1,1,0,0,20251006,20251231
358854_7953,0,0,0,0,0,1,0,20251006,20251231
358854_7954,0,0,0,0,0,0,1,20251006,20251231
347962_7952,1,1,1,1,1,0,0,20251006,20251231
347962_7953,0,0,0,0,0,1,0,20251006,20251231
347962_7954,0,0,0,0,0,0,1,20251006,20251231
381930_7952,1,1,1,1,1,0,0,20251006,20251231
381930_7953,0,0,0,0,0,1,0,20251006,20251231
381930_7954,0,0,0,0,0,0,1,20251006,20251231
381918_7952,1,1,1,1,1,0,0,20251006,20251231
381918_7953,0,0,0,0,0,1,0,20251006,20251231
381918_7954,0,0,0,0,0,0,1,20251006,20251231
381922_7952,1,1,1,1,1,0,0,20251006,20251231
381922_7953,0,0,0,0,0,1,0,20251006,20251231
381922_7954,0,0,0,0,0,0,1,20251006,20251231
395286_7952,1,1,1,1,1,0,0,20251006,20251231
395286_7953,0,0,0,0,0,1,0,20251006,20251231
395286_7954,0,0,0,0,0,0,1,20251006,20251231
383581_7952,1,1,1,1,1,0,0,20251006,20251231
383581_7953,0,0,0,0,0,1,0,20251006,20251231
383581_7954,0,0,0,0,0,0,1,20251006,20251231
383582_7952,1,1,1,1,1,0,0,20251006,20251231
383582_7953,0,0,0,0,0,1,0,20251006,20251231
383582_7954,0,0,0,0,0,0,1,20251006,20251231
362963_7952,1,1,1,1,1,0,0,20251006,20251231
362963_7953,0,0,0,0,0,1,0,20251006,20251231
362963_7954,0,0,0,0,0,0,1,20251006,20251231
391070_7952,1,1,1,1,1,0,0,20251006,20251231
391070_7953,0,0,0,0,0,1,0,20251006,20251231
391070_7954,0,0,0,0,0,0,1,20251006,20251231
327640_7952,1,1,1,1,1,0,0,20251006,20251231
327640_7953,0,0,0,0,0,1,0,20251006,20251231
327640_7954,0,0,0,0,0,0,1,20251006,20251231
398941_7952,1,1,1,1,1,0,0,20251006,20251231
398941_7953,0,0,0,0,0,1,0,20251006,20251231
398941_7954,0,0,0,0,0,0,1,20251006,20251231
398939_7952,1,1,1,1,1,0,0,20251006,20251231
398939_7953,0,0,0,0,0,1,0,20251006,20251231
398939_7954,0,0,0,0,0,0,1,20251006,20251231
383579_7952,1,1,1,1,1,0,0,20251006,20251231
383579_7953,0,0,0,0,0,1,0,20251006,20251231
383579_7954,0,0,0,0,0,0,1,20251006,20251231
376999_7952,1,1,1,1,1,0,0,20251006,20251231
376999_7953,0,0,0,0,0,1,0,20251006,20251231
376999_7954,0,0,0,0,0,0,1,20251006,20251231
327641_7953,0,0,0,0,0,1,0,20251006,20251231
327641_7954,0,0,0,0,0,0,1,20251006,20251231
314779_7952,1,1,1,1,1,0,0,20251006,20251231
314779_7953,0,0,0,0,0,1,0,20251006,20251231
314779_7954,0,0,0,0,0,0,1,20251006,20251231
356384_7952,1,1,1,1,1,0,0,20251006,20251231
356384_7953,0,0,0,0,0,1,0,20251006,20251231
356384_7954,0,0,0,0,0,0,1,20251006,20251231
383585_7952,1,1,1,1,1,0,0,20251006,20251231
383585_7953,0,0,0,0,0,1,0,20251006,20251231
383585_7954,0,0,0,0,0,0,1,20251006,20251231
322449_7952,1,1,1,1,1,0,0,20251006,20251231
322449_7953,0,0,0,0,0,1,0,20251006,20251231
322449_7954,0,0,0,0,0,0,1,20251006,20251231
374492_7952,1,1,1,1,1,0,0,20251006,20251231
374492_7953,0,0,0,0,0,1,0,20251006,20251231
374492_7954,0,0,0,0,0,0,1,20251006,20251231
383586_7952,1,1,1,1,1,0,0,20251006,20251231
383586_7953,0,0,0,0,0,1,0,20251006,20251231
383586_7954,0,0,0,0,0,0,1,20251006,20251231
377001_7952,1,1,1,1,1,0,0,20251006,20251231
377001_7953,0,0,0,0,0,1,0,20251006,20251231
377001_7954,0,0,0,0,0,0,1,20251006,20251231
389553_7952,1,1,1,1,1,0,0,20251006,20251231
