service_id,date,exception_type
398946_7952,20251111,2
398946_7952,20251226,2
398946_7952,20251225,2
398946_7954,20251111,1
398946_7954,20251225,1
398946_7954,20251226,1
398946_7954,20251101,1
399200_7952,20251111,2
399200_7952,20251226,2
399200_7952,20251225,2
399200_7954,20251111,1
399200_7954,20251225,1
399200_7954,20251226,1
399200_7954,20251101,1
369954_7952,20251111,2
369954_7952,20251226,2
369954_7952,20251225,2
369954_7954,20251111,1
369954_7954,20251225,1
369954_7954,20251226,1
369954_7954,20251101,1
398936_7952,20251111,2
398936_7952,20251226,2
398936_7952,20251225,2
398936_7954,20251111,1
398936_7954,20251225,1
398936_7954,20251226,1
398936_7954,20251101,1
369966_7952,20251111,2
369966_7952,20251226,2
369966_7952,20251225,2
369966_7954,20251111,1
369966_7954,20251225,1
369966_7954,20251226,1
369966_7954,20251101,1
391893_7952,20251111,2
391893_7952,20251226,2
391893_7952,20251225,2
391893_7954,20251111,1
391893_7954,20251225,1
391893_7954,20251226,1
391893_7954,20251101,1
356385_7952,20251111,2
356385_7952,20251226,2
356385_7952,20251225,2
356385_7954,20251111,1
356385_7954,20251225,1
356385_7954,20251226,1
356385_7954,20251101,1
383577_7952,20251111,2
383577_7952,20251226,2
383577_7952,20251225,2
383577_7954,20251111,1
383577_7954,20251225,1
383577_7954,20251226,1
383577_7954,20251101,1
369956_7952,20251111,2
369956_7952,20251226,2
369956_7952,20251225,2
369956_7954,20251111,1
369956_7954,20251225,1
369956_7954,20251226,1
369956_7954,20251101,1
383575_7952,20251111,2
383575_7952,20251226,2
383575_7952,20251225,2
383575_7954,20251111,1
383575_7954,20251225,1
383575_7954,20251226,1
383575_7954,20251101,1
363802_7952,20251111,2
363802_7952,20251226,2
363802_7952,20251225,2
363802_7954,20251111,1
363802_7954,20251225,1
363802_7954,20251226,1
363802_7954,20251101,1
321820_7952,20251111,2
321820_7952,20251226,2
321820_7952,20251225,2
321820_7954,20251111,1
321820_7954,20251225,1
321820_7954,20251226,1
321820_7954,20251101,1
398937_7952,20251111,2
398937_7952,20251226,2
398937_7952,20251225,2
398937_7954,20251111,1
398937_7954,20251225,1
398937_7954,20251226,1
398937_7954,20251101,1
381920_7952,20251111,2
381920_7952,20251226,2
381920_7952,20251225,2
381920_7954,20251111,1
381920_7954,20251225,1
381920_7954,20251226,1
381920_7954,20251101,1
388717_7952,20251111,2
388717_7952,20251226,2
388717_7952,20251225,2
388717_7954,20251111,1
388717_7954,20251225,1
388717_7954,20251226,1
388717_7954,20251101,1
321837_7952,20251111,2
321837_7952,20251226,2
321837_7952,20251225,2
321837_7954,20251111,1
321837_7954,20251225,1
321837_7954,20251226,1
321837_7954,20251101,1
381924_7952,20251111,2
381924_7952,20251226,2
381924_7952,20251225,2
381924_7954,20251111,1
381924_7954,20251225,1
381924_7954,20251226,1
381924_7954,20251101,1
398938_7952,20251111,2
398938_7952,20251226,2
398938_7952,20251225,2
398938_7954,20251111,1
398938_7954,20251225,1
398938_7954,20251226,1
398938_7954,20251101,1
398940_7952,20251111,2
398940_7952,20251226,2
398940_7952,20251225,2
398940_7954,20251111,1
398940_7954,20251225,1
398940_7954,20251226,1
398940_7954,20251101,1
398947_7952,20251111,2
398947_7952,20251226,2
398947_7952,20251225,2
398947_7954,20251111,1
398947_7954,20251225,1
398947_7954,20251226,1
398947_7954,20251101,1
381928_7952,20251111,2
381928_7952,20251226,2
381928_7952,20251225,2
381928_7954,20251111,1
381928_7954,20251225,1
381928_7954,20251226,1
381928_7954,20251101,1
387206_7952,20251111,2
387206_7952,20251226,2
387206_7952,20251225,2
387206_7954,20251111,1
387206_7954,20251225,1
387206_7954,20251226,1
387206_7954,20251101,1
398935_7952,20251111,2
398935_7952,20251226,2
398935_7952,20251225,2
398935_7954,20251111,1
398935_7954,20251225,1
398935_7954,20251226,1
398935_7954,20251101,1
352024_7952,20251111,2
352024_7952,20251226,2
352024_7952,20251225,2
352024_7954,20251111,1
352024_7954,20251225,1
352024_7954,20251226,1
352024_7954,20251101,1
381926_7952,20251111,2
381926_7952,20251226,2
381926_7952,20251225,2
381926_7954,20251111,1
381926_7954,20251225,1
381926_7954,20251226,1
381926_7954,20251101,1
358854_7952,20251111,2
358854_7952,20251226,2
358854_7952,20251225,2
358854_7954,20251111,1
358854_7954,20251225,1
358854_7954,20251226,1
358854_7954,20251101,1
347962_7952,20251111,2
347962_7952,20251226,2
347962_7952,20251225,2
347962_7954,20251111,1
347962_7954,20251225,1
347962_7954,20251226,1
347962_7954,20251101,1
381930_7952,20251111,2
381930_7952,20251226,2
381930_7952,20251225,2
381930_7954,20251111,1
381930_7954,20251225,1
381930_7954,20251226,1
381930_7954,20251101,1
381918_7952,20251111,2
381918_7952,20251226,2
381918_7952,20251225,2
381918_7954,20251111,1
381918_7954,20251225,1
381918_7954,20251226,1
381918_7954,20251101,1
381922_7952,20251111,2
381922_7952,20251226,2
381922_7952,20251225,2
381922_7954,20251111,1
381922_7954,20251225,1
381922_7954,20251226,1
381922_7954,20251101,1
395286_7952,20251111,2
395286_7952,20251226,2
395286_7952,20251225,2
395286_7954,20251111,1
395286_7954,20251225,1
395286_7954,20251226,1
395286_7954,20251101,1
383581_7952,20251111,2
383581_7952,20251226,2
383581_7952,20251225,2
383581_7954,20251111,1
383581_7954,20251225,1
383581_7954,20251226,1
383581_7954,20251101,1
383582_7952,20251111,2
383582_7952,20251226,2
383582_7952,20251225,2
383582_7954,20251111,1
383582_7954,20251225,1
383582_7954,20251226,1
383582_7954,20251101,1
362963_7952,20251111,2
362963_7952,20251226,2
362963_7952,20251225,2
362963_7954,20251111,1
362963_7954,20251225,1
362963_7954,20251226,1
362963_7954,20251101,1
391070_7952,20251111,2
391070_7952,20251226,2
391070_7952,20251225,2
391070_7954,20251111,1
391070_7954,20251225,1
391070_7954,20251226,1
391070_7954,20251101,1
327640_7952,20251111,2
327640_7952,20251226,2
327640_7952,20251225,2
327640_7954,20251111,1
327640_7954,20251225,1
327640_7954,20251226,1
327640_7954,20251101,1
398941_7952,20251111,2
398941_7952,20251226,2
398941_7952,20251225,2
398941_7954,20251111,1
398941_7954,20251225,1
398941_7954,20251226,1
398941_7954,20251101,1
398939_7952,20251111,2
398939_7952,20251226,2
398939_7952,20251225,2
398939_7954,20251111,1
398939_7954,20251225,1
398939_7954,20251226,1
398939_7954,20251101,1
383579_7952,20251111,2
383579_7952,20251226,2
383579_7952,20251225,2
383579_7954,20251111,1
383579_7954,20251225,1
383579_7954,20251226,1
383579_7954,20251101,1
376999_7952,20251111,2
376999_7952,20251226,2
376999_7952,20251225,2
376999_7954,20251111,1
376999_7954,20251225,1
376999_7954,20251226,1
376999_7954,20251101,1
327641_7954,20251111,1
327641_7954,20251225,1
327641_7954,20251226,1
327641_7954,20251101,1
314779_7952,20251111,2
314779_7952,20251226,2
314779_7952,20251225,2
314779_7954,20251111,1
314779_7954,20251225,1
314779_7954,20251226,1
314779_7954,20251101,1
356384_7952,20251111,2
356384_7952,20251226,2
356384_7952,20251225,2
356384_7954,20251111,1
356384_7954,20251225,1
356384_7954,20251226,1
356384_7954,20251101,1
383585_7952,20251111,2
383585_7952,20251226,2
383585_7952,20251225,2
383585_7954,20251111,1
383585_7954,20251225,1
383585_7954,20251226,1
383585_7954,20251101,1
322449_7952,20251111,2
322449_7952,20251226,2
322449_7952,20251225,2
322449_7954,20251111,1
322449_7954,20251225,1
322449_7954,20251226,1
322449_7954,20251101,1
374492_7952,20251111,2
374492_7952,20251226,2
374492_7952,20251225,2
374492_7954,20251111,1
374492_7954,20251225,1
374492_7954,20251226,1
374492_7954,20251101,1
383586_7952,20251111,2
383586_7952,20251226,2
383586_7952,20251225,2
383586_7954,20251111,1
383586_7954,20251225,1
383586_7954,20251226,1
383586_7954,20251101,1
377001_7952,20251111,2
377001_7952,20251226,2
377001_7952,20251225,2
377001_7954,20251111,1
377001_7954,20251225,1
377001_7954,20251226,1
377001_7954,20251101,1
389553_7952,20251111,2
389553_7952,20251226,2
389553_7952,20251225,2
