ticketing_stop_id,stop_id,agency_id
12218,1841203,246
12218,1909991,246
12218,1909992,246
11758,1586250,246
11758,1657838,246
11758,1657839,246
11762,1586251,246
11762,1657840,246
11762,1657841,246
11761,1586252,246
11761,1657842,246
11761,1657843,246
11729,1586253,246
11729,1657844,246
11729,1657845,246
11527,1389894,246
11527,1450714,246
11506,1389877,246
11506,1450689,246
11566,1497418,246
11566,1559097,246
11566,1559096,246
12147,1841204,246
12147,1909780,246
12147,1909781,246
11711,1535417,246
11711,1606208,246
11711,1606209,246
11508,1389879,246
11508,1450691,246
11508,1450692,246
11526,1389893,246
11526,1450712,246
11507,1389878,246
11507,1450690,246
11509,1389882,246
11509,1450694,246
12051,1841205,246
12051,1909936,246
12051,1909937,246
12050,1841206,246
12050,1909935,246
12049,1841207,246
12049,1909933,246
12049,1909934,246
10142,654084,246
10142,703791,246
10142,703792,246
10140,654078,246
10140,703779,246
10140,703780,246
10141,654082,246
10141,703787,246
10141,703788,246
11941,1841208,246
11941,1909583,246
11941,1909584,246
11942,1841209,246
11942,1909585,246
11942,1909586,246
10355,771579,246
10355,824562,246
10355,824563,246
10356,771578,246
10356,824560,246
10356,824561,246
10871,959952,246
10871,1015161,246
10871,1015162,246
10872,959953,246
10872,1015163,246
10872,1015164,246
10874,959956,246
10874,1015169,246
10874,1015170,246
11573,1497426,246
11573,1559110,246
11573,1559109,246
11575,1497428,246
11575,1559114,246
11575,1559113,246
11574,1497427,246
11574,1559112,246
11574,1559111,246
10201,654068,246
10201,703763,246
10201,1910166,246
11971,1841210,246
11971,1909637,246
11971,1909638,246
11969,1841211,246
11969,1909633,246
11969,1909634,246
11966,1841212,246
11966,1909627,246
11966,1909628,246
11968,1841213,246
11968,1909631,246
11968,1909632,246
11967,1841214,246
11967,1909629,246
11967,1909630,246
11970,1841215,246
11970,1909635,246
11970,1909636,246
11533,1428592,246
11533,1491086,246
11533,1491087,246
11532,1428591,246
11532,1491084,246
11532,1491085,246
11531,1428590,246
11531,1491082,246
11531,1491083,246
11537,1428596,246
11537,1491094,246
11537,1491095,246
11536,1428595,246
11536,1491092,246
11536,1491093,246
11535,1428594,246
11535,1491090,246
11535,1491091,246
11534,1428593,246
11534,1491088,246
11534,1491089,246
10502,959894,246
10502,1015054,246
10502,1015055,246
11927,1841216,246
11927,1909555,246
11927,1909556,246
11928,1841218,246
11928,1909557,246
11928,1909558,246
11929,1841217,246
11929,1909559,246
11929,1909560,246
11578,1497431,246
11578,1559120,246
11578,1559119,246
10880,959966,246
10880,1015188,246
10880,1015189,246
10881,959969,246
10881,1015193,246
10881,1015194,246
11052,959835,246
11052,1014944,246
12248,1841219,246
12248,1910096,246
11051,959831,246
11051,1910156,246
10997,1062297,246
10997,1118834,246
10997,1118833,246
11129,1252420,246
11129,1308400,246
11129,1308401,246
11130,1252421,246
11130,1308402,246
11130,1308403,246
11131,1252422,246
11131,1308404,246
11131,1308405,246
11132,1252423,246
11132,1308406,246
11132,1308407,246
12062,1841220,246
12062,1909958,246
12062,1909959,246
12063,1841221,246
12063,1909960,246
12063,1909961,246
10081,654051,246
10081,703734,246
10081,703735,246
10085,654039,246
10085,703715,246
10085,703716,246
10087,654037,246
10087,703712,246
10087,703713,246
10128,688128,246
10128,739562,246
10128,739563,246
10086,654038,246
10086,703714,246
10086,1211755,246
12080,1841222,246
12080,1909803,246
12080,1909804,246
12079,1841223,246
12079,1909805,246
12079,1909806,246
12078,1841224,246
12078,1909807,246
12078,1909808,246
10082,654043,246
10082,703722,246
10082,703723,246
10083,654042,246
10083,703720,246
10083,703721,246
10130,654050,246
10130,703732,246
10130,703733,246
10125,688139,246
10125,739581,246
10133,654058,246
10133,703746,246
10133,703747,246
10134,654061,246
10134,703750,246
